ESPECE;maisPP;maisP;maisDP;maisDT;maisT;maisTT;maisEnsil;semence;tour;CP;BD;orgeh;orgep;pois;poisp;feverole;colza;sorgho;soja;prairiet;prairiep;betterave;pdt;vergers;prune;vignes;gel;orgeEnsil;orgeVert;ciPois;ciCruciLong;ciCruciCourt;ciVesce;ciRGI;TriticaleVert;ciSorgho;ciFeverole;prairieCP;triticale;ciTriticaleVert;culture_printemps;maisEnsilP;luzerne;arachide;mil
isLEG;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true;true;false;false;true;false;false;false;false;false;false;false;false;false;false;true;false;false;true;false;false;false;true;false;false;false;false;false;true;true;false
ABSCISSION;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0.5;0.9;0.9;0;1;0;0;0.56;0;NA;NA;NA;NA;0;0;0.5;0.9;0.95;0.5;0.1;0;0;0.9;0;0;0;0;0;0;0;0
isCouvert;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false;true;true;true;true;true;false;true;false;false;true;false;false;false;false;false
HI;0.54;0.54;0.54;0.54;0.54;0.54;0.96;0.54;0.33;0.49;0.49;0.51;0.51;0.57;0.57;0.53;0.25;0.42;0.32;0.83;0;0.78;0.85;0;0;0;0;0.87;0.95;0.95;0;0;0;0;0;0;0;0.49;0.49;0;0.33;0.96;0.83;;0.5
Pse;0.3;0.3;0.3;0.3;0.3;0.3;1;0.3;0.2;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.453;0.3;0.4;1;0;0.09;0.3;0;0;0;0;1;1;1;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.4;0.4;0.15;0.2;1;1;0.4;0.4
beta;0.952;0.952;0.952;0.952;0.952;0.952;0.952;0.952;0.928;0.96;0.96;0.94;0.94;0.963;0.963;0.961;0.92;0.952;0.938;0.953;0;0.953;0.953;0;0;0;0;0.94;0.94;0.963;0.92;0.928;0.928;0.953;0.96;0.952;0.961;0.96;0.96;0.96;0.928;0.952;0.953;0.961;0.96
SR_ratio;5.6;5.6;5.6;5.6;5.6;5.6;5.6;5.6;5.7;6.8;6.8;9.5;9.5;5.7;5.7;4;4.9;11.7;5.2;1.5;0;57.15;38.35;0;0;0;0;9.5;9.5;5.7;4.9;5.67;5.7;1.5;6.8;11.7;4;6.8;6.8;6.8;5.7;5.6;1.5;4;6.8
RootC_fixed;1.167;1.167;1.167;1.167;1.167;1.167;1.238;1.167;0.904;0.846;0.846;0.644;0.644;0.511;0.511;0.739;1.174;0.638;1.062;3.976;0;0.158;0.094;0;0;0;0;0.644;0;0;0;0;0;0;0;0;0;0.846;0.846;0;0.904;1.238;3.976;0;0
CN_ratio;60;60;60;60;60;60;60;60;45;82.5;82.5;75;75;32.5;32.5;32.5;67.5;60;32.5;55;0;23;55;0;0;0;0;75;NA;NA;NA;NA;15;NA;NA;NA;NA;82.5;82.5;NA;45;60;55;60;60
adil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.35;5.08;4.48;4.48;5.08;5.35;5.35;3.5;5.08;0;0;5.35;0;0;0;0;0
bdil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.44;0.32;0.25;0.25;0.32;0.44;0.44;0.37;0.32;0;0;0.44;0;0;0;0;0
Type_Nacq;Cst;Cst;Cst;Cst;Cst;Cst;Cst;Cst;FloMat;CstFloMat;CstFloMat;CstFloMat;CstFloMat;500Mat;500Mat;500Mat;CstFloMat;Cst;Cst;0;0;Cst;Cst;0;0;0;0;CstFloMat;CstFloMat;500Mat;CstFloMat;CI;CI;CIfrein;CstFloMat;Cst;500Mat;CstFloMat;CstFloMat;CstFloMat;FloMat;Cst;0;500Mat;Cst
a_Ndemand_ci;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;0;0;0;0;0;0;0;0;0.0008;0.0007;0.0007;0;0;0;0;0;0;0;0;0;0;0
b_Ndemand_ci;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;0;0;0;0;0;0;0;0;0.3317;0.258;0.3114;0;0;0;0;0;0;0;0;0;0;0
coef_500Mat;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0044;0.0044;0.0044;0;0;0;0;0;NA;NA;0;0;0;0;0;0;0.0044;0;0;0;0;0;0;0.0044;0;0;0;0;0;0;0.0044;0.0044
Dde;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;0;0;0;0;0;0;0;137;137;191;191;0;0;0;0;0;0;0;0;0;0;0
N_grain;2;2;2;2;2;2;1.3;2;2.2;2;2.4;1.7;1.7;3.5;3.5;3.5;3;1.7;5;0;0;1;1;0;0;0;0;1.7;0;0;0;0;0;0;0;0;0;2;2;0;2.2;1.3;0;3.5;2
especeRepousse;NA;NA;NA;NA;NA;NA;NA;NA;NA;ciRGI;NA;ciRGI;ciRGI;NA;NA;NA;ciCruciLong;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ciRGI;ciRGI;NA;NA;NA;NA;NA;NA;NA;NA;ciGra;ciGra;NA;NA;NA;NA;NA;NA
BESOIN_Ntot;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;260;250;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PROF_MAX_RACINE;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;100;50;200;200;200;200;200;200;NA;200;200;200;200;200;NA;200;200;200;200;200;200;200;100;100
date_maj;12/10/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;03/08/2023;03/08/2023;22/09/2023;22/09/2023;22/09/2023;22/09/2023;22/09/2023;22/09/2023;01/12/2023;01/12/2023;01/12/2023;01/12/2023;01/12/2023;01/12/2023;01/12/2023;18/08/2025;18/08/2025
