annee;jourDebut;jourFin;parcelle;couvert;itk;N_lixivie[kgN/ha];N_volatilise_NH3[kgN/ha];N_mineralise_net_SOM[kgN/ha];N_mineralise_net_residus[kgN/ha];N_acquis_couvert[kgN/ha];N_mineral_debut[kgN/ha];N_mineral_fin[kgN/ha];emissions_N2O_directes[kgN/ha];emissions_N2[kgN/ha];N_fixe_legumineuses[kgN/ha];satisfactionAzote_culture[%];satisfactionAzote_ci[%];delta_Corg[kgC/ha];emissions_N2O_denit[kgN-N2O/ha];emissions_N2O_nit[kgN-N2O/ha];emissions_N2O_indirectes_volat[kgN-N2O/ha];emissions_N2O_indirectes_lixiv[kgN-N2O/ha]
2019;259;365;619_001;solnu;;2.14;0.0;16.22;-9.4;0.0;3.58;8.25;0.01;0.0;0;0;0;-134.28;0.0;0.01;0.0;2.14
2019;1;151;719_001;solnu;;0.0;0.0;8.99;0.0;0.0;19.95;28.87;0.01;0.0;0;0;0;-122.73;0.0;0.01;0.0;0.0
2019;152;258;719_001;mil;mil_precarachide;32.31;0.0;17.04;0.0;9.97;28.96;3.54;0.03;0.07;0;20.77;0;-230.53;0.02;0.01;0.0;32.31
2019;259;365;719_001;solnu;;2.12;0.0;16.04;-9.32;0.0;3.54;8.13;0.0;0.0;0;0;0;-132.62;0.0;0.0;0.0;2.12
2020;1;151;19_001;solnu;;0.0;0.0;10.77;2.38;0.0;8.7;21.77;0.01;0.0;0;0;0;-104.5;0.0;0.01;0.0;0.0
2020;152;258;19_001;arachide;arachide_precmil;17.62;0.0;21.68;1.45;23.16;21.88;4.11;0.02;0.0;17.33;100.0;0;-252.27;0.0;0.01;0.0;17.62
2020;259;366;19_001;solnu;;4.28;0.0;14.92;8.01;0.0;4.11;22.74;0.02;0.0;0;0;0;-66.34;0.0;0.01;0.0;4.28
2020;1;151;119_001;solnu;;0.0;0.0;10.51;2.25;0.0;8.32;21.0;0.01;0.0;0;0;0;-98.28;0.0;0.01;0.0;0.0
2020;152;258;119_001;arachide;arachide_precmil;15.18;0.0;20.97;1.35;24.16;21.11;3.97;0.02;0.0;25.44;100.0;0;-238.11;0.0;0.01;0.0;15.18
2020;259;366;119_001;solnu;;5.84;0.0;14.53;12.69;0.0;3.97;25.33;0.02;0.0;0;0;0;-47.69;0.01;0.02;0.0;5.84
2020;1;151;219_001;solnu;;0.0;0.0;11.61;2.92;0.0;9.99;24.44;0.01;0.0;0;0;0;-114.56;0.0;0.01;0.0;0.0
2020;152;258;219_001;arachide;arachide_precmil;17.77;0.0;23.44;1.81;27.45;24.56;4.45;0.02;0.0;21.26;100.0;0;-270.71;0.01;0.02;0.0;17.77
2020;259;366;219_001;solnu;;5.79;0.0;16.34;12.12;0.0;4.45;27.09;0.03;0.0;0;0;0;-69.82;0.01;0.02;0.0;5.79
2020;1;151;319_001;solnu;;0.0;0.0;10.51;2.25;0.0;8.32;21.0;0.01;0.0;0;0;0;-98.28;0.0;0.01;0.0;0.0
2020;152;258;319_001;arachide;arachide_precmil;15.18;0.0;20.97;1.35;24.16;21.11;3.97;0.02;0.0;25.44;100.0;0;-238.11;0.0;0.01;0.0;15.18
2020;259;366;319_001;solnu;;5.84;0.0;14.53;12.69;0.0;3.97;25.33;0.02;0.0;0;0;0;-47.69;0.01;0.02;0.0;5.84
2020;1;151;419_001;solnu;;0.0;0.0;11.55;2.36;0.0;9.53;23.36;0.01;0.0;0;0;0;-106.86;0.0;0.01;0.0;0.0
2020;152;258;419_001;arachide;arachide_precmil;18.05;0.0;23.12;1.44;25.46;23.48;4.4;0.02;0.0;24.19;100.0;0;-255.34;0.0;0.01;0.0;18.05
2020;259;366;419_001;solnu;;6.23;0.0;15.98;12.24;0.0;4.4;26.37;0.02;0.0;0;0;0;-58.81;0.01;0.02;0.0;6.23
2020;1;151;519_001;solnu;;0.0;0.0;11.65;2.27;0.0;29.43;43.26;0.01;0.0;0;0;0;-114.8;0.0;0.01;0.0;0.0
2020;152;258;519_001;mil;mil_precarachide;45.94;0.0;23.72;1.27;17.94;43.38;4.35;0.02;0.0;0;37.37;0;-276.68;0.0;0.01;0.0;45.94
2020;259;366;519_001;solnu;;2.54;0.0;15.92;-12.87;0.0;4.35;4.86;0.0;0.0;0;0;0;-138.1;0.0;0.0;0.0;2.54
2020;1;151;619_001;solnu;;0.0;0.0;10.51;2.25;0.0;8.32;21.0;0.01;0.0;0;0;0;-98.28;0.0;0.01;0.0;0.0
2020;152;258;619_001;arachide;arachide_precmil;15.18;0.0;20.97;1.35;24.16;21.11;3.97;0.02;0.0;25.44;100.0;0;-238.11;0.0;0.01;0.0;15.18
2020;259;366;619_001;solnu;;5.84;0.0;14.53;12.69;0.0;3.97;25.33;0.02;0.0;0;0;0;-47.69;0.01;0.02;0.0;5.84
2020;1;151;719_001;solnu;;0.0;0.0;10.46;2.23;0.0;8.2;20.81;0.01;0.0;0;0;0;-97.84;0.0;0.01;0.0;0.0
2020;152;258;719_001;arachide;arachide_precmil;16.07;0.0;20.8;1.33;22.92;20.92;3.93;0.02;0.0;26.75;100.0;0;-236.78;0.0;0.01;0.0;16.07
2020;259;366;719_001;solnu;;5.85;0.0;14.39;12.76;0.0;3.93;25.2;0.02;0.0;0;0;0;-46.47;0.01;0.02;0.0;5.85
